城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2017-01-02,500,严重污染,"PM10,PM2.5"
临汾市,2017-01-03,500,严重污染,PM10
临汾市,2017-01-04,487,严重污染,PM10
临汾市,2017-01-05,345,严重污染,PM2.5
临汾市,2017-01-06,240,重度污染,PM2.5
临汾市,2017-01-07,139,轻度污染,PM2.5
临汾市,2017-01-08,158,中度污染,PM2.5
临汾市,2017-01-09,189,中度污染,PM2.5
临汾市,2017-01-10,114,轻度污染,PM2.5
临汾市,2017-01-11,132,轻度污染,PM2.5
临汾市,2017-01-12,172,中度污染,PM2.5
临汾市,2017-01-13,239,重度污染,PM2.5
临汾市,2017-01-14,220,重度污染,PM2.5
临汾市,2017-01-15,163,中度污染,PM2.5
临汾市,2017-01-16,321,严重污染,PM2.5
临汾市,2017-01-17,420,严重污染,PM2.5
临汾市,2017-01-18,270,重度污染,PM2.5
临汾市,2017-01-19,105,轻度污染,PM2.5
临汾市,2017-01-20,112,轻度污染,"SO2,PM2.5"
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
临汾市,,,,
