城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2016-05-18,110,轻度污染,臭氧8小时
临汾市,2016-05-19,84,良,PM2.5
临汾市,2016-05-20,102,轻度污染,臭氧8小时
临汾市,2016-05-21,104,轻度污染,臭氧8小时
临汾市,2016-05-22,104,轻度污染,臭氧8小时
临汾市,2016-05-23,75,良,臭氧8小时
临汾市,2016-05-24,73,良,臭氧8小时
临汾市,2016-05-25,58,良,PM10
临汾市,2016-05-25,58,良,PM10
临汾市,2016-05-26,80,良,SO2
临汾市,2016-05-27,70,良,"PM10,PM2.5"
临汾市,2016-05-28,107,轻度污染,PM2.5
临汾市,2016-05-29,123,轻度污染,臭氧8小时
临汾市,2016-05-30,115,轻度污染,臭氧8小时
临汾市,2016-05-31,85,良,PM2.5
临汾市,2016-06-01,79,良,PM10
临汾市,2016-06-02,90,良,PM2.5
临汾市,2016-06-03,103,轻度污染,PM2.5
临汾市,2016-06-04,97,良,PM2.5
临汾市,2016-06-05,70,良,PM10
临汾市,2016-06-06,100,良,臭氧8小时
临汾市,2016-06-07,74,良,PM10
临汾市,2016-06-08,77,良,PM10
临汾市,2016-06-09,85,良,臭氧8小时
临汾市,2016-06-10,77,良,PM10
临汾市,2016-06-11,64,良,PM10
临汾市,2016-06-12,74,良,臭氧8小时
临汾市,2016-06-13,77,良,臭氧8小时
临汾市,2016-06-14,67,良,PM10
临汾市,2016-06-15,58,良,臭氧8小时
临汾市,2016-06-16,79,良,臭氧8小时
临汾市,2016-06-17,75,良,臭氧8小时
临汾市,2016-06-18,102,轻度污染,臭氧8小时
临汾市,2016-06-19,108,轻度污染,臭氧8小时
临汾市,2016-06-20,68,良,臭氧8小时
临汾市,2016-06-21,85,良,臭氧8小时
临汾市,2016-06-22,101,轻度污染,臭氧8小时
临汾市,2016-06-23,61,良,臭氧8小时
临汾市,2016-06-23,61,良,臭氧8小时
临汾市,2016-06-24,94,良,PM10
临汾市,2016-06-25,89,良,PM2.5
临汾市,2016-06-26,81,良,臭氧8小时
临汾市,2016-06-27,77,良,PM10
临汾市,2016-06-28,91,良,PM10
临汾市,2016-06-29,100,良,臭氧8小时
临汾市,2016-06-30,68,良,PM10
临汾市,2016-07-01,92,良,臭氧8小时
临汾市,2016-07-02,76,良,臭氧8小时
临汾市,2016-07-03,69,良,PM10
临汾市,2016-07-04,66,良,PM10
临汾市,2016-07-05,57,良,PM10
临汾市,2016-07-06,72,良,PM10
临汾市,2016-07-07,62,良,PM10
临汾市,2016-07-08,55,良,PM10
临汾市,2016-07-09,37,优,
临汾市,2016-07-10,45,优,
临汾市,2016-07-11,61,良,PM10
临汾市,2016-07-12,45,优,
临汾市,2016-07-13,69,良,PM10
临汾市,2016-07-14,51,良,PM10
临汾市,2016-07-15,76,良,PM10
临汾市,2016-07-16,67,良,PM10
临汾市,2016-07-17,63,良,臭氧8小时
临汾市,2016-07-18,97,良,PM10
临汾市,2016-07-19,54,良,PM10
临汾市,2016-07-20,51,良,PM10
临汾市,2016-07-21,62,良,PM10
临汾市,2016-07-22,52,良,PM10
临汾市,2016-07-22,52,良,PM10
临汾市,2016-07-23,33,优,
临汾市,2016-07-24,52,良,PM10
临汾市,2016-07-25,48,优,
临汾市,2016-07-26,90,良,臭氧8小时
临汾市,2016-07-27,67,良,SO2
临汾市,2016-07-28,69,良,臭氧8小时
临汾市,2016-07-29,105,轻度污染,臭氧8小时
临汾市,2016-07-30,57,良,PM10
临汾市,2016-07-31,46,优,
临汾市,2016-08-01,36,优,
临汾市,2016-08-02,61,良,臭氧8小时
临汾市,2016-08-03,80,良,臭氧8小时
临汾市,2016-08-04,55,良,"PM10,臭氧8小时"
临汾市,2016-08-05,44,优,
临汾市,2016-08-06,60,良,臭氧8小时
临汾市,2016-08-07,67,良,臭氧8小时
临汾市,2016-08-08,60,良,臭氧8小时
临汾市,2016-08-09,59,良,臭氧8小时
临汾市,2016-08-10,57,良,臭氧8小时
临汾市,2016-08-11,75,良,臭氧8小时
临汾市,2016-08-12,73,良,臭氧8小时
临汾市,2016-08-13,57,良,臭氧8小时
临汾市,2016-08-14,74,良,臭氧8小时
临汾市,2016-08-15,64,良,PM10
临汾市,2016-08-16,55,良,PM10
临汾市,2016-08-17,67,良,PM10
临汾市,2016-08-18,66,良,PM10
临汾市,2016-08-19,61,良,臭氧8小时
